name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32609.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32760.nii.gz,0.0241,0.0241,1.0000,10.426,10.426,0.000
BRATS_32761.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32762.nii.gz,0.0000,0.0000,1.0000,42.474,42.474,0.000
BRATS_32763.nii.gz,0.1606,0.1618,1.0000,8.671,8.688,0.000
BRATS_32764.nii.gz,0.2283,0.2283,1.0000,9.434,9.434,0.000
BRATS_32765.nii.gz,0.3846,0.3846,1.0000,13.293,13.293,0.000
BRATS_32766.nii.gz,0.3347,0.3360,1.0000,13.964,13.968,0.000
BRATS_32767.nii.gz,0.4296,0.4296,1.0000,8.246,8.246,0.000
BRATS_32768.nii.gz,0.4629,0.4629,1.0000,7.655,7.655,0.000
BRATS_32769.nii.gz,0.3883,0.3883,1.0000,9.925,9.925,0.000
BRATS_32770.nii.gz,0.7015,0.7029,1.0000,7.007,7.011,0.000
BRATS_32771.nii.gz,0.7619,0.7619,1.0000,7.000,7.000,0.000
BRATS_32772.nii.gz,0.7994,0.7994,1.0000,3.606,3.606,0.000
BRATS_32773.nii.gz,0.8025,0.8025,1.0000,5.089,5.089,0.000
BRATS_32774.nii.gz,0.8478,0.8463,1.0000,1.414,1.414,0.000
BRATS_32775.nii.gz,0.8681,0.8681,1.0000,1.000,1.000,0.000
BRATS_32776.nii.gz,0.8700,0.8700,1.0000,1.000,1.000,0.000
BRATS_32777.nii.gz,0.8354,0.8354,1.0000,2.000,2.000,0.000
BRATS_32778.nii.gz,0.8648,0.8648,0.0000,1.000,1.000,373.129
BRATS_32779.nii.gz,0.8827,0.8827,0.0000,1.000,1.000,373.129
BRATS_32928.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32929.nii.gz,0.0000,0.0000,1.0000,58.807,58.807,0.000
BRATS_32930.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32931.nii.gz,0.0095,0.0095,1.0000,18.832,18.832,0.000
BRATS_32932.nii.gz,0.0000,0.0000,1.0000,54.584,54.584,0.000
BRATS_32933.nii.gz,0.0000,0.0000,1.0000,57.595,57.595,0.000
BRATS_32934.nii.gz,0.0000,0.0000,1.0000,51.971,51.971,0.000
BRATS_32935.nii.gz,0.2267,0.2267,1.0000,19.895,19.895,0.000
BRATS_32936.nii.gz,0.6148,0.6148,1.0000,17.333,17.333,0.000
BRATS_32937.nii.gz,0.5434,0.5434,1.0000,13.153,13.153,0.000
BRATS_32938.nii.gz,0.6227,0.6227,1.0000,11.020,11.020,0.000
BRATS_32939.nii.gz,0.5533,0.5533,1.0000,9.055,9.055,0.000
BRATS_32940.nii.gz,0.5554,0.5554,1.0000,9.487,9.487,0.000
BRATS_32941.nii.gz,0.6581,0.6538,0.8772,13.238,13.365,2.355
BRATS_32942.nii.gz,0.6647,0.6628,0.8082,15.000,15.000,10.037
BRATS_32943.nii.gz,0.7250,0.7134,0.8299,12.168,12.190,2.000
BRATS_32944.nii.gz,0.7764,0.7485,0.8726,5.831,6.037,1.000
BRATS_32945.nii.gz,0.8095,0.7581,0.8565,5.000,5.199,1.000
BRATS_32946.nii.gz,0.7985,0.7355,0.8010,5.562,6.000,2.000
BRATS_32947.nii.gz,0.7909,0.7281,0.7963,5.000,5.831,1.414
BRATS_33096.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33097.nii.gz,0.0000,0.0000,0.0000,63.285,63.289,373.129
BRATS_33098.nii.gz,0.0000,0.0000,0.0000,60.571,62.435,373.129
BRATS_33099.nii.gz,0.0000,0.0000,0.0000,62.760,62.760,373.129
BRATS_33100.nii.gz,0.0000,0.0000,0.0000,20.199,20.226,373.129
BRATS_33101.nii.gz,0.1937,0.1840,0.4304,12.062,12.100,10.853
BRATS_33102.nii.gz,0.5291,0.4948,0.6055,8.006,8.050,9.011
BRATS_33103.nii.gz,0.5066,0.4618,0.5246,6.403,6.403,8.544
BRATS_33104.nii.gz,0.5728,0.5475,0.5298,8.062,8.062,10.630
