name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8822,0.8284,0.8519,1.000,1.414,1.000
BRATS_32089.nii.gz,0.8860,0.8321,0.8040,1.414,2.000,2.000
BRATS_32090.nii.gz,0.9139,0.8497,0.8061,1.000,1.000,1.414
BRATS_32091.nii.gz,0.9189,0.8448,0.8000,1.000,1.000,1.000
BRATS_32092.nii.gz,0.9359,0.8611,0.7982,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9314,0.8514,0.8173,1.000,1.000,1.000
BRATS_32094.nii.gz,0.9210,0.8467,0.8315,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9258,0.8540,0.8438,1.000,1.000,1.000
BRATS_32096.nii.gz,0.9289,0.8569,0.8352,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9239,0.8523,0.8509,1.000,1.000,1.000
BRATS_32098.nii.gz,0.9239,0.8521,0.8641,1.000,1.186,1.000
BRATS_32099.nii.gz,0.9302,0.8577,0.8765,1.000,1.000,1.000
BRATS_32100.nii.gz,0.9219,0.8496,0.8680,1.000,1.000,1.000
BRATS_32101.nii.gz,0.9119,0.8376,0.8533,1.000,1.414,1.000
BRATS_32102.nii.gz,0.9268,0.8577,0.8482,1.000,1.000,1.000
BRATS_32103.nii.gz,0.9495,0.8769,0.8440,1.000,1.000,1.000
BRATS_32104.nii.gz,0.9501,0.8766,0.8660,0.000,1.000,1.000
BRATS_32105.nii.gz,0.9560,0.8739,0.8477,0.000,1.000,1.000
BRATS_32106.nii.gz,0.9543,0.8758,0.8701,0.000,1.000,1.000
BRATS_32107.nii.gz,0.9491,0.8655,0.8905,1.000,1.000,1.000
BRATS_32256.nii.gz,0.6418,0.6418,1.0000,9.220,9.220,0.000
BRATS_32257.nii.gz,0.6953,0.6938,1.0000,6.083,6.083,0.000
BRATS_32258.nii.gz,0.7946,0.7946,1.0000,4.000,4.000,0.000
BRATS_32259.nii.gz,0.8287,0.8287,0.0000,2.828,2.828,373.129
BRATS_32260.nii.gz,0.8539,0.8539,1.0000,2.236,2.236,0.000
BRATS_32261.nii.gz,0.8780,0.8780,1.0000,2.000,2.000,0.000
BRATS_32262.nii.gz,0.9170,0.9170,1.0000,1.000,1.000,0.000
BRATS_32263.nii.gz,0.9296,0.9296,1.0000,1.000,1.000,0.000
BRATS_32264.nii.gz,0.9354,0.9354,1.0000,1.000,1.000,0.000
BRATS_32265.nii.gz,0.9378,0.9378,0.0000,1.000,1.000,373.129
BRATS_32266.nii.gz,0.9216,0.9216,0.0000,1.000,1.000,373.129
BRATS_32267.nii.gz,0.9094,0.9061,0.3621,1.414,1.414,7.000
BRATS_32268.nii.gz,0.9110,0.9010,0.7623,1.414,1.414,1.912
BRATS_32269.nii.gz,0.8861,0.8754,0.7668,2.000,2.000,10.000
BRATS_32270.nii.gz,0.8429,0.8296,0.7529,2.828,2.828,8.944
BRATS_32271.nii.gz,0.8247,0.8017,0.6963,3.606,4.000,8.602
BRATS_32272.nii.gz,0.8562,0.8315,0.6761,3.000,3.606,10.000
BRATS_32273.nii.gz,0.8863,0.8504,0.7071,2.000,2.236,6.325
BRATS_32274.nii.gz,0.9029,0.8640,0.7507,2.000,2.236,5.000
BRATS_32275.nii.gz,0.9341,0.8835,0.8364,1.000,1.414,1.414
BRATS_32424.nii.gz,0.7983,0.7502,0.8707,4.123,4.472,1.000
BRATS_32425.nii.gz,0.8093,0.7714,0.8863,4.123,4.243,1.000
BRATS_32426.nii.gz,0.8511,0.8256,0.8656,3.000,3.000,1.000
BRATS_32427.nii.gz,0.8434,0.8270,0.8527,3.162,3.000,1.000
BRATS_32428.nii.gz,0.8220,0.8229,0.8216,3.665,3.606,5.000
BRATS_32429.nii.gz,0.8264,0.8352,0.8188,3.000,2.828,4.098
BRATS_32430.nii.gz,0.8223,0.8336,0.7087,3.162,2.828,4.000
BRATS_32431.nii.gz,0.7849,0.7956,0.2857,4.472,4.000,3.162
BRATS_32432.nii.gz,0.8244,0.8406,1.0000,3.606,2.828,0.000
BRATS_32433.nii.gz,0.7732,0.7874,1.0000,4.000,3.606,0.000
BRATS_32434.nii.gz,0.7677,0.7805,1.0000,4.000,3.606,0.000
BRATS_32435.nii.gz,0.7988,0.8102,1.0000,3.606,3.000,0.000
BRATS_32436.nii.gz,0.8352,0.8452,1.0000,3.606,3.000,0.000
BRATS_32437.nii.gz,0.8045,0.8077,1.0000,3.162,3.097,0.000
BRATS_32438.nii.gz,0.7774,0.7785,1.0000,6.083,6.083,0.000
BRATS_32439.nii.gz,0.7818,0.7818,1.0000,5.000,5.000,0.000
BRATS_32440.nii.gz,0.7825,0.7825,1.0000,5.877,5.877,0.000
BRATS_32441.nii.gz,0.8701,0.8701,1.0000,1.414,1.414,0.000
BRATS_32442.nii.gz,0.7994,0.8018,1.0000,3.065,3.081,0.000
BRATS_32443.nii.gz,0.7710,0.7723,1.0000,2.236,2.236,0.000
BRATS_32592.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32593.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32594.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32595.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32596.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32597.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32598.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32599.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32600.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
