,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
0,BRATS_00002.nii.gz,0.9419,0.8349,0.8867,1.0,1.0,1.0
1,BRATS_00003.nii.gz,0.9402,0.8399,0.8938,1.0,1.0,1.0
2,BRATS_00006.nii.gz,0.9185,0.8385,0.9055,1.0,1.0,1.0
3,BRATS_00008.nii.gz,0.916,0.8295,0.928,1.0,1.0,1.0
4,BRATS_00016.nii.gz,0.7736,0.7509,0.0,2.2359999999999998,2.2359999999999998,373.129
5,BRATS_00017.nii.gz,0.7535,0.7426,1.0,3.182,3.575,0.0
6,BRATS_00170.nii.gz,0.8491,0.8381,0.0,1.0,1.0,373.129
7,BRATS_00172.nii.gz,0.8182,0.8,0.8,1.4140000000000001,1.4140000000000001,1.124
8,BRATS_00176.nii.gz,0.8447,0.8447,0.8941,1.4140000000000001,1.4140000000000001,1.0
9,BRATS_00180.nii.gz,0.8481,0.8474,0.9189,6.325,5.88,1.0
10,BRATS_00181.nii.gz,0.8546,0.8489,0.8673,1.4140000000000001,1.4140000000000001,1.0
11,BRATS_00338.nii.gz,0.9642,0.9634,0.9855,0.0,0.0,0.0
12,BRATS_00343.nii.gz,0.9747,0.9655,0.9599,0.0,0.0,0.0
13,BRATS_00347.nii.gz,0.9769,0.9683,0.966,0.0,0.0,0.0
14,BRATS_00348.nii.gz,0.9825,0.9776,0.9699,0.0,0.0,0.0
15,BRATS_00351.nii.gz,0.9776,0.9708,0.9692,0.0,0.0,0.0
16,BRATS_00508.nii.gz,0.7203,0.7021,0.0,3.0,3.0,373.129
17,BRATS_00510.nii.gz,0.885,0.8677,0.7941,1.4140000000000001,1.4140000000000001,2.0
18,BRATS_00511.nii.gz,0.9432,0.9213,0.9055,1.0,1.0,1.0
19,BRATS_00516.nii.gz,0.9587,0.9042,0.9437,0.0,1.0,1.0
20,BRATS_00517.nii.gz,0.9636,0.9297,0.9529,0.0,1.0,0.0
21,BRATS_00519.nii.gz,0.9519,0.8932,0.9216,0.0,1.0,1.0
22,BRATS_00520.nii.gz,0.9652,0.9077,0.8927,0.0,1.0,1.0
23,BRATS_00675.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
