,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
471,BRATS_18816.nii.gz,0.9206,0.8662,0.883,1.0,1.0,1.0
472,BRATS_18824.nii.gz,0.9214,0.8948,0.9111,1.0,1.0,1.0
473,BRATS_18828.nii.gz,0.907,0.8852,0.9187,1.0,1.0,1.0
474,BRATS_18985.nii.gz,0.9627,0.9627,1.0,0.0,0.0,0.0
475,BRATS_18992.nii.gz,0.9586,0.9554,0.9729,0.0,0.0,0.0
476,BRATS_18994.nii.gz,0.9574,0.9553,0.9728,0.0,0.0,0.0
477,BRATS_18999.nii.gz,0.9615,0.9572,0.973,0.0,0.0,0.0
478,BRATS_19002.nii.gz,0.9663,0.9544,0.9441,0.0,0.0,1.0
479,BRATS_19162.nii.gz,0.9597,0.9427,0.8846,0.0,1.0,1.0
480,BRATS_19167.nii.gz,0.9642,0.9537,0.9392,0.0,0.0,1.0
481,BRATS_19169.nii.gz,0.959,0.9472,0.9124,0.0,1.0,1.0
482,BRATS_19332.nii.gz,0.9748,0.9748,0.0,0.0,0.0,373.129
483,BRATS_19335.nii.gz,0.9582,0.9582,1.0,0.0,0.0,0.0
484,BRATS_19493.nii.gz,0.8014,0.8014,1.0,2.0,2.0,0.0
485,BRATS_19495.nii.gz,0.3696,0.3696,1.0,10.142999999999999,10.142999999999999,0.0
486,BRATS_19660.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
487,BRATS_19672.nii.gz,0.8416,0.7789,0.8456,1.4140000000000001,2.0,1.0
488,BRATS_19675.nii.gz,0.9187,0.8875,0.898,1.0,1.0,1.0
489,BRATS_19824.nii.gz,0.9112,0.9006,0.9539,1.0,1.0,0.0
490,BRATS_19827.nii.gz,0.9421,0.9289,0.9551,1.0,1.0,0.0
491,BRATS_19829.nii.gz,0.9507,0.9424,0.9832,0.0,1.0,0.0
492,BRATS_19838.nii.gz,0.9552,0.947,0.9847,0.0,1.0,0.0
493,BRATS_20163.nii.gz,0.9036,0.9036,0.0,1.0,1.0,373.129
494,BRATS_20166.nii.gz,0.9054,0.9054,0.8841,1.0,1.0,1.0
495,BRATS_20167.nii.gz,0.892,0.892,0.9128,1.0,1.0,1.0
496,BRATS_20171.nii.gz,0.9181,0.9181,0.9364,1.0,1.0,1.0
497,BRATS_20175.nii.gz,0.9434,0.9428,0.9589,1.0,1.0,0.0
498,BRATS_20177.nii.gz,0.9488,0.9439,0.9676,1.0,1.0,0.0
