,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
365,BRATS_14788.nii.gz,0.9758,0.9346,0.8805,0.0,1.0,1.0
366,BRATS_14798.nii.gz,0.9601,0.9398,0.9162,0.0,1.0,1.0
367,BRATS_14966.nii.gz,0.9202,0.8757,0.9155,1.0,1.0,1.0
368,BRATS_14967.nii.gz,0.9233,0.8887,0.926,1.0,1.0,1.0
369,BRATS_15120.nii.gz,0.73,0.7332,0.8276,7.848,7.905,1.0
370,BRATS_15124.nii.gz,0.8607,0.8345,0.9247,4.4719999999999995,5.1160000000000005,1.0
371,BRATS_15126.nii.gz,0.8696,0.8143,0.8953,3.0,3.6060000000000003,1.0
372,BRATS_15129.nii.gz,0.8958,0.8295,0.9027,3.517,6.082999999999999,1.0
373,BRATS_15135.nii.gz,0.9312,0.8726,0.9132,1.0,2.9139999999999997,1.0
374,BRATS_15137.nii.gz,0.9484,0.8969,0.9194,1.0,1.0,1.0
375,BRATS_15297.nii.gz,0.9264,0.859,0.852,1.2,6.074,1.0
376,BRATS_15300.nii.gz,0.9438,0.8135,0.7718,1.0,1.166,1.4140000000000001
377,BRATS_15303.nii.gz,0.9558,0.8726,0.8548,0.0,1.0,1.0
378,BRATS_15304.nii.gz,0.9508,0.8821,0.8896,0.0,1.0,1.0
379,BRATS_15306.nii.gz,0.9416,0.8575,0.8405,1.0,1.0,1.0
380,BRATS_15458.nii.gz,0.4688,0.4688,1.0,7.0,7.0,0.0
381,BRATS_15466.nii.gz,0.9464,0.9464,0.8668,1.0,1.0,2.0
382,BRATS_15629.nii.gz,0.949,0.9477,0.9273,1.0,1.0,1.0
383,BRATS_15793.nii.gz,0.0,0.0,0.0,373.129,373.129,373.129
384,BRATS_15798.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
385,BRATS_15799.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
386,BRATS_15801.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
387,BRATS_15802.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
388,BRATS_15809.nii.gz,0.8936,0.8889,1.0,1.0,1.0,0.0
389,BRATS_15969.nii.gz,0.9639,0.9364,0.8897,0.0,1.0,1.0
390,BRATS_15971.nii.gz,0.9598,0.9269,0.921,0.0,1.0,1.0
391,BRATS_15975.nii.gz,0.9729,0.9356,0.8976,0.0,1.0,1.0
392,BRATS_15976.nii.gz,0.9681,0.9358,0.9066,0.0,1.0,1.0
393,BRATS_15979.nii.gz,0.9642,0.9265,0.8208,0.0,1.0,5.015
394,BRATS_16134.nii.gz,0.9387,0.9377,0.9264,1.0,1.0,1.0
395,BRATS_16136.nii.gz,0.9539,0.9334,0.9241,0.0,1.0,1.0
396,BRATS_16137.nii.gz,0.9569,0.9262,0.9027,0.0,1.0,1.0
397,BRATS_16139.nii.gz,0.9733,0.9607,0.9384,0.0,0.0,1.0
398,BRATS_16145.nii.gz,0.9789,0.9548,0.9499,0.0,0.0,0.2
399,BRATS_16147.nii.gz,0.9761,0.9392,0.962,0.0,1.0,0.0
400,BRATS_16468.nii.gz,0.6667,0.6667,1.0,18.923,18.923,0.0
401,BRATS_16469.nii.gz,0.7292,0.7368,1.0,1.4140000000000001,1.4140000000000001,0.0
402,BRATS_16471.nii.gz,0.722,0.8018,0.8485,17.83,18.572,1.0
403,BRATS_16473.nii.gz,0.8141,0.7402,0.9114,11.745999999999999,16.971,1.0
404,BRATS_16475.nii.gz,0.8308,0.8266,0.8387,2.0,2.9139999999999997,5.0
405,BRATS_16482.nii.gz,0.9412,0.8916,0.9503,1.0,1.0,0.0
406,BRATS_16635.nii.gz,0.9168,0.9182,0.9415,1.0,1.0,1.0
407,BRATS_16643.nii.gz,0.7333,0.7333,1.0,1.4140000000000001,1.4140000000000001,0.0
408,BRATS_16645.nii.gz,0.4762,0.4762,1.0,2.0,2.0,0.0
409,BRATS_16646.nii.gz,0.4,0.4,1.0,3.0,3.0,0.0
410,BRATS_16800.nii.gz,0.8701,0.8701,0.0,1.0,1.0,373.129
411,BRATS_16802.nii.gz,0.7109,0.7109,1.0,7.364,7.364,0.0
412,BRATS_16803.nii.gz,0.8279,0.8246,1.0,1.4140000000000001,1.4140000000000001,0.0
413,BRATS_16806.nii.gz,0.8209,0.8197,0.0,8.062000000000001,8.062000000000001,373.129
414,BRATS_16807.nii.gz,0.8781,0.8762,0.942,2.0,2.0,1.0
415,BRATS_16808.nii.gz,0.9226,0.9238,0.9321,1.0,1.0,1.0
416,BRATS_16811.nii.gz,0.9662,0.9661,0.9443,0.0,0.0,1.0
417,BRATS_16815.nii.gz,0.9651,0.9625,0.9565,0.0,0.0,0.0
418,BRATS_16970.nii.gz,0.9608,0.9269,0.9274,0.0,1.0,1.0
419,BRATS_16971.nii.gz,0.9562,0.9008,0.9121,0.0,1.0,1.0
420,BRATS_16975.nii.gz,0.9729,0.9088,0.9062,0.0,1.0,1.0
421,BRATS_16980.nii.gz,0.9738,0.9008,0.9006,0.0,1.0,1.0
422,BRATS_16982.nii.gz,0.974,0.8934,0.896,0.0,1.0,1.0
423,BRATS_17138.nii.gz,0.8333,0.8333,1.0,1.0,1.0,0.0
424,BRATS_17144.nii.gz,0.7711,0.7654,1.0,4.0,4.0,0.0
425,BRATS_17147.nii.gz,0.7324,0.74,1.0,11.0,11.002,0.0
426,BRATS_17148.nii.gz,0.762,0.766,1.0,12.665999999999999,12.833,0.0
427,BRATS_17151.nii.gz,0.7453,0.7467,1.0,14.868,15.002,0.0
428,BRATS_17152.nii.gz,0.7402,0.7396,1.0,13.463,13.481,0.0
429,BRATS_17309.nii.gz,0.7222,0.7222,1.0,1.561,1.561,0.0
430,BRATS_17312.nii.gz,0.8095,0.8095,1.0,1.0,1.0,0.0
431,BRATS_17316.nii.gz,0.7576,0.7419,1.0,1.854,1.9709999999999999,0.0
432,BRATS_17317.nii.gz,0.7292,0.7253,0.0,1.561,1.7069999999999999,373.129
433,BRATS_17472.nii.gz,0.9479,0.885,0.9721,1.0,1.0,0.0
434,BRATS_17480.nii.gz,0.9075,0.8461,0.9204,1.0,1.0,1.0
435,BRATS_17485.nii.gz,0.9277,0.8865,0.8,1.0,1.0,1.0
436,BRATS_17487.nii.gz,0.924,0.9079,0.8,1.0,1.0,1.0
437,BRATS_17489.nii.gz,0.9307,0.9305,0.0,1.0,1.0,373.129
438,BRATS_17645.nii.gz,0.8837,0.8469,0.9114,1.0,1.0,1.0
439,BRATS_17646.nii.gz,0.9094,0.8735,0.9024,1.0,1.0,1.0
440,BRATS_17647.nii.gz,0.9085,0.863,0.8642,1.0,1.0,1.0
441,BRATS_17649.nii.gz,0.9071,0.8463,0.8,1.0,1.0,1.0
442,BRATS_17650.nii.gz,0.9179,0.8644,0.8889,1.0,1.0,1.0
443,BRATS_17656.nii.gz,0.8444,0.8444,1.0,1.0,1.0,0.0
444,BRATS_17812.nii.gz,0.8898,0.8898,1.0,1.0,1.0,0.0
445,BRATS_17817.nii.gz,0.9221,0.9221,1.0,1.0,1.0,0.0
446,BRATS_17818.nii.gz,0.897,0.897,1.0,1.0,1.0,0.0
447,BRATS_17820.nii.gz,0.8976,0.8976,1.0,1.0,1.0,0.0
448,BRATS_17977.nii.gz,0.954,0.837,0.7987,0.0,1.0,1.0
449,BRATS_17978.nii.gz,0.9467,0.8004,0.7742,1.0,1.0,1.0
450,BRATS_17981.nii.gz,0.9386,0.8043,0.8263,1.0,1.4140000000000001,1.0
451,BRATS_17985.nii.gz,0.9227,0.7908,0.8556,1.0,2.2359999999999998,1.0
452,BRATS_17990.nii.gz,0.9276,0.8233,0.8173,1.0,4.2010000000000005,1.0
