name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8817,0.8306,0.8372,1.414,2.000,1.394
BRATS_32089.nii.gz,0.8917,0.8322,0.7944,1.207,2.000,2.236
BRATS_32090.nii.gz,0.9066,0.8411,0.8089,1.000,1.000,1.000
BRATS_32091.nii.gz,0.9198,0.8465,0.8062,1.000,1.000,1.000
BRATS_32092.nii.gz,0.9298,0.8479,0.7996,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9322,0.8510,0.8106,1.000,1.000,1.414
BRATS_32094.nii.gz,0.9266,0.8566,0.8367,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9337,0.8691,0.8381,1.000,1.000,1.000
BRATS_32096.nii.gz,0.9371,0.8693,0.8422,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9355,0.8707,0.8471,1.000,1.000,1.000
BRATS_32098.nii.gz,0.9267,0.8599,0.8691,1.000,1.000,1.000
BRATS_32099.nii.gz,0.9289,0.8542,0.8772,1.000,1.000,1.000
BRATS_32100.nii.gz,0.9237,0.8535,0.8698,1.000,1.000,1.000
BRATS_32101.nii.gz,0.9119,0.8368,0.8522,1.000,1.414,1.000
BRATS_32102.nii.gz,0.9246,0.8519,0.8478,1.000,1.000,1.000
BRATS_32103.nii.gz,0.9453,0.8689,0.8538,1.000,1.000,1.000
BRATS_32104.nii.gz,0.9562,0.8822,0.8673,0.000,1.000,1.000
BRATS_32105.nii.gz,0.9610,0.8795,0.8620,0.000,1.000,1.000
BRATS_32106.nii.gz,0.9630,0.8867,0.8737,0.000,1.000,1.000
BRATS_32107.nii.gz,0.9573,0.8723,0.8938,0.000,1.000,1.000
BRATS_32256.nii.gz,0.6844,0.6848,1.0000,6.403,6.403,0.000
BRATS_32257.nii.gz,0.7661,0.7661,0.0000,5.385,5.385,373.129
BRATS_32258.nii.gz,0.7755,0.7755,1.0000,5.000,5.000,0.000
BRATS_32259.nii.gz,0.8375,0.8375,0.0000,3.000,3.000,373.129
BRATS_32260.nii.gz,0.8591,0.8591,1.0000,2.236,2.236,0.000
BRATS_32261.nii.gz,0.8870,0.8870,1.0000,1.414,1.414,0.000
BRATS_32262.nii.gz,0.9220,0.9220,1.0000,1.000,1.000,0.000
BRATS_32263.nii.gz,0.9378,0.9378,1.0000,1.000,1.000,0.000
BRATS_32264.nii.gz,0.9446,0.9446,1.0000,1.000,1.000,0.000
BRATS_32265.nii.gz,0.9479,0.9479,0.0000,1.000,1.000,373.129
BRATS_32266.nii.gz,0.9409,0.9409,0.0000,1.000,1.000,373.129
BRATS_32267.nii.gz,0.9249,0.9218,0.1000,1.000,1.000,10.002
BRATS_32268.nii.gz,0.9307,0.9227,0.7149,1.000,1.000,2.000
BRATS_32269.nii.gz,0.9265,0.9169,0.7239,1.000,1.000,10.354
BRATS_32270.nii.gz,0.9018,0.8926,0.6984,1.414,1.414,9.487
BRATS_32271.nii.gz,0.8766,0.8473,0.6725,2.000,2.000,8.944
BRATS_32272.nii.gz,0.9008,0.8663,0.6842,1.414,2.000,10.000
BRATS_32273.nii.gz,0.9268,0.8820,0.7356,1.000,1.414,5.385
BRATS_32274.nii.gz,0.9331,0.8740,0.7573,1.000,2.000,5.000
BRATS_32275.nii.gz,0.9328,0.8687,0.8203,1.000,2.000,1.414
BRATS_32424.nii.gz,0.8106,0.7642,0.8788,4.000,4.123,1.000
BRATS_32425.nii.gz,0.8031,0.7646,0.8880,4.123,4.472,1.000
BRATS_32426.nii.gz,0.8562,0.8316,0.8583,2.828,3.000,1.000
BRATS_32427.nii.gz,0.8472,0.8326,0.8504,3.000,2.828,1.000
BRATS_32428.nii.gz,0.8398,0.8407,0.8056,3.000,2.828,7.808
BRATS_32429.nii.gz,0.8359,0.8443,0.7919,3.000,2.443,5.000
BRATS_32430.nii.gz,0.8226,0.8347,0.6741,3.606,3.000,6.000
BRATS_32431.nii.gz,0.7829,0.7929,0.2687,4.123,3.606,3.473
BRATS_32432.nii.gz,0.8089,0.8256,1.0000,3.724,2.828,0.000
BRATS_32433.nii.gz,0.7822,0.7963,1.0000,3.606,3.016,0.000
BRATS_32434.nii.gz,0.7617,0.7742,1.0000,4.472,4.000,0.000
BRATS_32435.nii.gz,0.8137,0.8238,1.0000,2.828,2.236,0.000
BRATS_32436.nii.gz,0.8081,0.8185,1.0000,4.472,4.000,0.000
BRATS_32437.nii.gz,0.8428,0.8491,1.0000,2.828,2.236,0.000
BRATS_32438.nii.gz,0.8352,0.8365,1.0000,2.828,2.828,0.000
BRATS_32439.nii.gz,0.8152,0.8152,1.0000,2.828,2.828,0.000
BRATS_32440.nii.gz,0.8146,0.8146,1.0000,4.000,4.000,0.000
BRATS_32441.nii.gz,0.8756,0.8756,1.0000,1.000,1.000,0.000
BRATS_32442.nii.gz,0.8011,0.8011,1.0000,3.000,3.000,0.000
BRATS_32443.nii.gz,0.7952,0.7952,1.0000,2.236,2.236,0.000
BRATS_32592.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32593.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32594.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32595.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32596.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32597.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32598.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32599.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32600.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32601.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32602.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32603.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32604.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32605.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32606.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32607.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32608.nii.gz,0.0000,0.0000,1.0000,50.010,43.540,0.000
BRATS_32609.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32760.nii.gz,0.1294,0.1294,1.0000,17.117,17.117,0.000
BRATS_32761.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32762.nii.gz,0.0000,0.0000,1.0000,52.175,52.175,0.000
BRATS_32763.nii.gz,0.4253,0.4253,1.0000,12.751,12.751,0.000
BRATS_32764.nii.gz,0.4023,0.4023,1.0000,12.728,12.728,0.000
BRATS_32765.nii.gz,0.4608,0.4608,1.0000,9.220,9.220,0.000
BRATS_32766.nii.gz,0.5301,0.5301,1.0000,11.375,11.375,0.000
BRATS_32767.nii.gz,0.6107,0.6107,1.0000,8.246,8.246,0.000
BRATS_32768.nii.gz,0.6182,0.6182,1.0000,7.000,7.000,0.000
BRATS_32769.nii.gz,0.5891,0.5891,1.0000,16.000,16.000,0.000
BRATS_32770.nii.gz,0.7691,0.7691,1.0000,10.198,10.198,0.000
BRATS_32771.nii.gz,0.7875,0.7875,1.0000,3.162,3.162,0.000
BRATS_32772.nii.gz,0.8197,0.8197,1.0000,2.236,2.236,0.000
BRATS_32773.nii.gz,0.8608,0.8608,1.0000,2.000,2.000,0.000
BRATS_32774.nii.gz,0.8474,0.8474,1.0000,2.000,2.000,0.000
BRATS_32775.nii.gz,0.8514,0.8514,1.0000,2.000,2.000,0.000
BRATS_32776.nii.gz,0.8437,0.8437,1.0000,2.000,2.000,0.000
BRATS_32777.nii.gz,0.8383,0.8383,0.0000,1.414,1.414,373.129
BRATS_32778.nii.gz,0.8599,0.8723,0.0000,2.000,1.414,373.129
BRATS_32779.nii.gz,0.8409,0.8764,0.0000,2.236,1.414,373.129
BRATS_32928.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32929.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32930.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32931.nii.gz,0.0341,0.0341,1.0000,41.723,41.723,0.000
BRATS_32932.nii.gz,0.4104,0.4104,1.0000,33.262,33.262,0.000
BRATS_32933.nii.gz,0.4293,0.4293,1.0000,32.705,32.705,0.000
BRATS_32934.nii.gz,0.4900,0.4900,1.0000,29.730,29.730,0.000
BRATS_32935.nii.gz,0.4828,0.4828,1.0000,28.930,28.930,0.000
BRATS_32936.nii.gz,0.4968,0.4968,1.0000,27.497,27.497,0.000
BRATS_32937.nii.gz,0.4980,0.4980,1.0000,26.146,26.146,0.000
BRATS_32938.nii.gz,0.5761,0.5761,1.0000,24.054,24.054,0.000
BRATS_32939.nii.gz,0.5561,0.5561,1.0000,23.394,23.394,0.000
