name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32609.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32760.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32761.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32762.nii.gz,0.0000,0.0000,1.0000,39.109,39.005,0.000
BRATS_32763.nii.gz,0.1778,0.1642,1.0000,8.944,8.944,0.000
BRATS_32764.nii.gz,0.1124,0.1124,1.0000,9.442,9.442,0.000
BRATS_32765.nii.gz,0.2360,0.2360,1.0000,7.673,7.673,0.000
BRATS_32766.nii.gz,0.2698,0.2698,1.0000,8.570,8.570,0.000
BRATS_32767.nii.gz,0.3047,0.3047,1.0000,8.544,8.544,0.000
BRATS_32768.nii.gz,0.3092,0.3092,1.0000,14.734,14.734,0.000
BRATS_32769.nii.gz,0.3536,0.3501,1.0000,10.000,10.000,0.000
BRATS_32770.nii.gz,0.6040,0.5978,1.0000,8.062,8.062,0.000
BRATS_32771.nii.gz,0.7301,0.7279,1.0000,8.000,8.000,0.000
BRATS_32772.nii.gz,0.7326,0.7326,1.0000,6.000,6.000,0.000
BRATS_32773.nii.gz,0.7647,0.7647,1.0000,7.000,7.000,0.000
BRATS_32774.nii.gz,0.8198,0.8198,1.0000,2.000,2.000,0.000
BRATS_32775.nii.gz,0.8383,0.8364,0.0000,2.000,2.000,373.129
BRATS_32776.nii.gz,0.8499,0.8476,1.0000,1.414,1.414,0.000
BRATS_32777.nii.gz,0.8264,0.8283,0.0000,2.000,2.000,373.129
BRATS_32778.nii.gz,0.8798,0.8784,0.0000,1.000,1.000,373.129
BRATS_32779.nii.gz,0.8681,0.8710,0.0000,1.000,1.000,373.129
BRATS_32928.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32929.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32930.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32931.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32932.nii.gz,0.0000,0.0000,1.0000,28.459,28.459,0.000
BRATS_32933.nii.gz,0.0077,0.0077,1.0000,24.698,24.698,0.000
BRATS_32934.nii.gz,0.2305,0.2305,1.0000,18.385,18.385,0.000
BRATS_32935.nii.gz,0.2969,0.2969,1.0000,19.473,19.473,0.000
BRATS_32936.nii.gz,0.5284,0.5284,1.0000,17.106,17.106,0.000
BRATS_32937.nii.gz,0.5897,0.5897,1.0000,13.029,13.029,0.000
BRATS_32938.nii.gz,0.6375,0.6375,1.0000,10.050,10.050,0.000
BRATS_32939.nii.gz,0.6364,0.6364,1.0000,9.000,9.000,0.000
BRATS_32940.nii.gz,0.6122,0.6088,1.0000,8.547,8.553,0.000
BRATS_32941.nii.gz,0.6550,0.6536,0.9000,8.772,8.795,2.012
BRATS_32942.nii.gz,0.6772,0.6698,0.8082,8.953,8.969,10.037
BRATS_32943.nii.gz,0.7304,0.7003,0.8863,10.419,10.564,1.000
BRATS_32944.nii.gz,0.7507,0.7074,0.8993,10.440,10.630,1.000
BRATS_32945.nii.gz,0.7959,0.7438,0.8261,8.582,9.849,2.236
BRATS_32946.nii.gz,0.7975,0.7355,0.7775,9.064,10.012,8.773
BRATS_32947.nii.gz,0.7842,0.7071,0.7450,9.487,10.737,8.062
BRATS_33096.nii.gz,0.0000,0.0000,0.0000,66.607,66.607,373.129
BRATS_33097.nii.gz,0.0000,0.0000,0.0000,65.876,65.876,373.129
BRATS_33098.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33099.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33100.nii.gz,0.0110,0.0114,0.0513,16.954,16.978,13.076
BRATS_33101.nii.gz,0.3631,0.3352,0.3896,12.304,12.393,10.889
BRATS_33102.nii.gz,0.5058,0.4732,0.6055,4.141,4.231,9.109
BRATS_33103.nii.gz,0.4784,0.4353,0.5714,12.083,12.083,9.220
BRATS_33104.nii.gz,0.5643,0.5407,0.5823,10.775,10.817,10.630
