name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32609.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32760.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32761.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32762.nii.gz,0.0000,0.0000,1.0000,34.413,34.503,0.000
BRATS_32763.nii.gz,0.3358,0.3358,1.0000,9.053,9.053,0.000
BRATS_32764.nii.gz,0.2034,0.2034,1.0000,10.000,10.000,0.000
BRATS_32765.nii.gz,0.4369,0.4369,1.0000,7.071,7.071,0.000
BRATS_32766.nii.gz,0.4357,0.4357,1.0000,11.417,11.417,0.000
BRATS_32767.nii.gz,0.4902,0.4902,1.0000,5.720,5.720,0.000
BRATS_32768.nii.gz,0.5838,0.5838,1.0000,5.355,5.355,0.000
BRATS_32769.nii.gz,0.5939,0.5939,1.0000,8.953,8.953,0.000
BRATS_32770.nii.gz,0.7388,0.7388,1.0000,6.550,6.550,0.000
BRATS_32771.nii.gz,0.7776,0.7776,1.0000,5.385,5.385,0.000
BRATS_32772.nii.gz,0.8071,0.8053,1.0000,2.000,2.000,0.000
BRATS_32773.nii.gz,0.8331,0.8314,1.0000,1.000,1.000,0.000
BRATS_32774.nii.gz,0.8349,0.8349,1.0000,1.414,1.414,0.000
BRATS_32775.nii.gz,0.8436,0.8436,1.0000,1.414,1.414,0.000
BRATS_32776.nii.gz,0.8798,0.8798,1.0000,1.000,1.000,0.000
BRATS_32777.nii.gz,0.8326,0.8326,1.0000,1.444,1.444,0.000
BRATS_32778.nii.gz,0.8620,0.8629,0.0000,1.000,1.000,373.129
BRATS_32779.nii.gz,0.8379,0.8492,0.0000,2.000,1.619,373.129
BRATS_32928.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32929.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32930.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32931.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32932.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32933.nii.gz,0.0772,0.0772,1.0000,24.607,24.607,0.000
BRATS_32934.nii.gz,0.1565,0.1502,1.0000,21.978,21.982,0.000
BRATS_32935.nii.gz,0.1922,0.1758,1.0000,21.199,21.304,0.000
BRATS_32936.nii.gz,0.3283,0.3241,1.0000,19.339,19.344,0.000
BRATS_32937.nii.gz,0.3684,0.3684,1.0000,17.471,17.471,0.000
BRATS_32938.nii.gz,0.4838,0.4838,1.0000,16.585,16.585,0.000
BRATS_32939.nii.gz,0.4635,0.4635,1.0000,15.000,15.000,0.000
BRATS_32940.nii.gz,0.4686,0.4686,1.0000,15.342,15.342,0.000
BRATS_32941.nii.gz,0.6081,0.6051,0.7925,9.460,9.466,2.473
BRATS_32942.nii.gz,0.6241,0.6172,0.7746,9.220,9.220,11.000
BRATS_32943.nii.gz,0.6578,0.6225,0.7792,10.232,10.296,10.000
BRATS_32944.nii.gz,0.6887,0.6484,0.8732,10.526,10.382,1.000
BRATS_32945.nii.gz,0.7199,0.6688,0.7708,9.722,10.276,3.138
BRATS_32946.nii.gz,0.7286,0.6677,0.7385,10.012,10.817,9.924
BRATS_32947.nii.gz,0.7054,0.6070,0.6685,12.124,13.038,9.460
BRATS_33096.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33097.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33098.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33099.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33100.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33101.nii.gz,0.0847,0.0878,0.0317,13.557,13.674,12.485
BRATS_33102.nii.gz,0.4126,0.3818,0.4694,8.062,8.062,9.519
BRATS_33103.nii.gz,0.4710,0.4234,0.4211,7.810,7.810,9.295
BRATS_33104.nii.gz,0.4585,0.4323,0.4143,9.434,9.458,11.180
