name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8591,0.7911,0.8340,1.414,2.000,1.000
BRATS_32089.nii.gz,0.8806,0.8086,0.7973,1.000,1.590,2.000
BRATS_32090.nii.gz,0.8953,0.8144,0.7872,1.000,1.000,1.000
BRATS_32091.nii.gz,0.9181,0.8235,0.7429,1.000,1.000,1.414
BRATS_32092.nii.gz,0.9282,0.8393,0.7822,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9342,0.8575,0.8342,1.000,1.000,1.000
BRATS_32094.nii.gz,0.9100,0.8333,0.8278,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9169,0.8508,0.8502,1.000,1.000,1.000
BRATS_32096.nii.gz,0.9256,0.8568,0.8571,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9205,0.8575,0.8668,1.000,1.000,1.000
BRATS_32098.nii.gz,0.9069,0.8293,0.8431,1.000,1.000,1.000
BRATS_32099.nii.gz,0.9070,0.8239,0.8416,1.000,1.414,1.000
BRATS_32100.nii.gz,0.9113,0.8236,0.8471,1.000,1.414,1.000
BRATS_32101.nii.gz,0.9028,0.8247,0.8213,1.000,1.414,1.000
BRATS_32102.nii.gz,0.9109,0.8405,0.8333,1.000,1.000,1.000
BRATS_32103.nii.gz,0.9354,0.8627,0.8312,1.000,1.000,1.000
BRATS_32104.nii.gz,0.9465,0.8659,0.8601,1.000,1.000,1.000
BRATS_32105.nii.gz,0.9491,0.8728,0.8672,1.000,1.000,1.000
BRATS_32106.nii.gz,0.9517,0.8829,0.8846,0.000,1.000,1.000
BRATS_32107.nii.gz,0.9377,0.8593,0.8883,1.000,1.000,1.000
BRATS_32256.nii.gz,0.5760,0.5760,0.0000,6.032,6.032,373.129
BRATS_32257.nii.gz,0.6723,0.6723,0.0000,6.376,6.376,373.129
BRATS_32258.nii.gz,0.7146,0.7117,0.0000,5.000,5.000,373.129
BRATS_32259.nii.gz,0.8201,0.8190,0.0000,2.000,2.000,19.302
BRATS_32260.nii.gz,0.8468,0.8468,0.0000,2.000,2.000,373.129
BRATS_32261.nii.gz,0.8691,0.8691,0.0000,1.414,1.414,373.129
BRATS_32262.nii.gz,0.8933,0.8926,1.0000,1.000,1.000,0.000
BRATS_32263.nii.gz,0.9045,0.9031,1.0000,1.000,1.000,0.000
BRATS_32264.nii.gz,0.9156,0.9156,1.0000,1.000,1.000,0.000
BRATS_32265.nii.gz,0.9272,0.9225,0.0000,1.000,1.000,373.129
BRATS_32266.nii.gz,0.9144,0.9109,0.8421,1.000,1.000,1.000
BRATS_32267.nii.gz,0.9015,0.8961,0.7797,1.000,1.000,1.000
BRATS_32268.nii.gz,0.9062,0.8975,0.7755,1.000,1.000,1.414
BRATS_32269.nii.gz,0.9057,0.8919,0.7432,1.000,1.000,6.083
BRATS_32270.nii.gz,0.8959,0.8763,0.6948,1.000,1.000,6.083
BRATS_32271.nii.gz,0.8913,0.8617,0.7192,1.000,1.414,5.831
BRATS_32272.nii.gz,0.8939,0.8595,0.6995,1.249,1.414,6.000
BRATS_32273.nii.gz,0.8659,0.8325,0.7000,1.414,2.000,4.499
BRATS_32274.nii.gz,0.8805,0.8448,0.7643,2.000,2.236,3.000
BRATS_32275.nii.gz,0.9243,0.8734,0.8634,1.000,1.414,1.000
BRATS_32424.nii.gz,0.7842,0.7310,0.8651,3.162,3.606,1.000
BRATS_32425.nii.gz,0.8007,0.7623,0.9231,3.000,3.000,1.000
BRATS_32426.nii.gz,0.8643,0.8401,0.8502,2.000,2.000,1.000
BRATS_32427.nii.gz,0.8543,0.8424,0.8273,2.000,2.000,1.444
BRATS_32428.nii.gz,0.8451,0.8422,0.8075,2.000,2.000,3.400
BRATS_32429.nii.gz,0.8284,0.8326,0.7619,2.000,2.000,4.201
BRATS_32430.nii.gz,0.8231,0.8329,0.6737,2.236,2.000,3.000
BRATS_32431.nii.gz,0.7168,0.7280,0.5000,5.099,4.243,2.236
BRATS_32432.nii.gz,0.5926,0.6073,1.0000,8.000,7.000,0.000
BRATS_32433.nii.gz,0.6275,0.6389,1.0000,6.497,6.000,0.000
BRATS_32434.nii.gz,0.6809,0.6868,1.0000,5.000,4.472,0.000
BRATS_32435.nii.gz,0.7253,0.7372,1.0000,6.083,5.385,0.000
BRATS_32436.nii.gz,0.6398,0.6509,1.0000,8.246,7.942,0.000
BRATS_32437.nii.gz,0.6633,0.6684,1.0000,7.867,7.431,0.000
BRATS_32438.nii.gz,0.7750,0.7750,1.0000,3.606,3.606,0.000
BRATS_32439.nii.gz,0.8010,0.8000,1.0000,2.799,2.828,0.000
BRATS_32440.nii.gz,0.8579,0.8593,1.0000,2.000,2.000,0.000
BRATS_32441.nii.gz,0.8014,0.8014,1.0000,2.000,2.000,0.000
BRATS_32442.nii.gz,0.8028,0.8085,1.0000,2.000,2.000,0.000
BRATS_32443.nii.gz,0.7477,0.7421,1.0000,2.224,2.236,0.000
BRATS_32592.nii.gz,0.0000,0.0000,1.0000,22.361,22.361,0.000
BRATS_32593.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32594.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32595.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32596.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32597.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32598.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32599.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32600.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32601.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32602.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32603.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32604.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32605.nii.gz,0.0000,0.0000,1.0000,22.816,20.239,0.000
BRATS_32606.nii.gz,0.0000,0.0000,1.0000,32.238,28.777,0.000
BRATS_32607.nii.gz,0.0000,0.0000,1.0000,29.209,27.357,0.000
BRATS_32608.nii.gz,0.0000,0.0000,1.0000,30.167,25.648,0.000
BRATS_32609.nii.gz,0.0000,0.0000,1.0000,31.609,29.920,0.000
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32760.nii.gz,0.1000,0.1000,1.0000,8.261,8.261,0.000
BRATS_32761.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32762.nii.gz,0.1020,0.1020,1.0000,29.304,29.304,0.000
BRATS_32763.nii.gz,0.1026,0.1026,1.0000,10.391,10.391,0.000
BRATS_32764.nii.gz,0.1257,0.1257,1.0000,10.227,10.227,0.000
BRATS_32765.nii.gz,0.3204,0.3204,1.0000,15.811,15.811,0.000
BRATS_32766.nii.gz,0.3359,0.3295,1.0000,12.982,13.000,0.000
BRATS_32767.nii.gz,0.4176,0.4176,1.0000,7.769,7.769,0.000
BRATS_32768.nii.gz,0.5275,0.5275,1.0000,7.000,7.000,0.000
BRATS_32769.nii.gz,0.5846,0.5846,1.0000,8.961,8.961,0.000
BRATS_32770.nii.gz,0.7669,0.7684,1.0000,6.000,6.000,0.000
BRATS_32771.nii.gz,0.7981,0.7963,1.0000,5.000,5.000,0.000
BRATS_32772.nii.gz,0.7854,0.7854,1.0000,3.921,3.921,0.000
BRATS_32773.nii.gz,0.8136,0.8136,1.0000,1.766,1.766,0.000
BRATS_32774.nii.gz,0.8540,0.8521,1.0000,1.414,1.414,0.000
BRATS_32775.nii.gz,0.8640,0.8652,1.0000,1.000,1.000,0.000
BRATS_32776.nii.gz,0.8925,0.8933,1.0000,1.000,1.000,0.000
BRATS_32777.nii.gz,0.8426,0.8435,0.0000,1.414,1.414,373.129
BRATS_32778.nii.gz,0.8800,0.8842,0.0000,1.000,1.000,373.129
BRATS_32779.nii.gz,0.8644,0.8750,0.0000,1.000,1.000,373.129
BRATS_32928.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32929.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32930.nii.gz,0.0387,0.0387,1.0000,18.488,18.488,0.000
BRATS_32931.nii.gz,0.1747,0.1747,1.0000,14.628,14.628,0.000
BRATS_32932.nii.gz,0.1972,0.1908,1.0000,18.381,18.382,0.000
BRATS_32933.nii.gz,0.3867,0.3879,1.0000,17.117,17.126,0.000
BRATS_32934.nii.gz,0.5446,0.5459,1.0000,17.425,17.438,0.000
BRATS_32935.nii.gz,0.5887,0.5857,1.0000,16.988,17.000,0.000
BRATS_32936.nii.gz,0.5237,0.5237,1.0000,16.473,16.473,0.000
BRATS_32937.nii.gz,0.5094,0.5066,1.0000,12.467,12.481,0.000
BRATS_32938.nii.gz,0.5777,0.5777,1.0000,12.000,12.000,0.000
BRATS_32939.nii.gz,0.5850,0.5830,1.0000,9.019,9.022,0.000
BRATS_32940.nii.gz,0.5524,0.5524,1.0000,12.947,12.947,0.000
BRATS_32941.nii.gz,0.6877,0.6844,0.8364,10.426,10.473,2.414
BRATS_32942.nii.gz,0.7147,0.7106,0.7571,9.813,9.879,11.002
BRATS_32943.nii.gz,0.7783,0.7649,0.8815,4.043,4.123,1.000
BRATS_32944.nii.gz,0.7834,0.7561,0.8435,4.000,4.000,1.414
BRATS_32945.nii.gz,0.8231,0.7825,0.8431,3.162,4.000,1.000
BRATS_32946.nii.gz,0.8161,0.7557,0.8175,5.000,5.228,1.000
BRATS_32947.nii.gz,0.8019,0.7312,0.7556,5.000,5.657,1.883
BRATS_33096.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33097.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33098.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33099.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33100.nii.gz,0.0000,0.0000,0.0000,19.177,19.216,373.129
BRATS_33101.nii.gz,0.0833,0.0864,0.1765,11.180,11.180,11.951
BRATS_33102.nii.gz,0.4962,0.4713,0.6182,5.000,5.000,9.096
BRATS_33103.nii.gz,0.4580,0.4168,0.5484,6.403,6.708,9.220
BRATS_33104.nii.gz,0.5576,0.5312,0.5949,8.062,8.246,10.007
BRATS_33105.nii.gz,0.5569,0.4887,0.6250,9.434,9.831,8.619
BRATS_33106.nii.gz,0.4848,0.3885,0.5241,11.985,12.069,12.128
BRATS_33107.nii.gz,0.4967,0.4119,0.5308,9.220,9.577,12.509
BRATS_33108.nii.gz,0.5145,0.4530,0.4706,5.831,6.708,13.416
BRATS_33109.nii.gz,0.6205,0.4965,0.5031,5.000,5.385,12.196
BRATS_33110.nii.gz,0.3727,0.3896,0.3376,9.055,9.220,13.454
BRATS_33111.nii.gz,0.5737,0.5682,0.4426,6.000,6.325,11.772
BRATS_33112.nii.gz,0.5340,0.5174,0.3901,5.000,5.385,5.983
BRATS_33113.nii.gz,0.6718,0.5391,0.5705,5.000,6.000,5.228
BRATS_33114.nii.gz,0.8215,0.6479,0.7229,4.123,5.385,3.073
BRATS_33115.nii.gz,0.8252,0.6785,0.7851,3.882,5.371,1.766
BRATS_33264.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33265.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33266.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33267.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33268.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33269.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33270.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33271.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33272.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33273.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33274.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33275.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33276.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33277.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33278.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33279.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33280.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33281.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
