name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.9059,0.8575,0.8320,1.000,1.000,1.000
BRATS_32089.nii.gz,0.8909,0.8333,0.7902,1.000,1.414,2.000
BRATS_32090.nii.gz,0.8891,0.8177,0.7938,1.414,1.414,1.414
BRATS_32091.nii.gz,0.9138,0.8387,0.7886,1.000,1.000,1.021
BRATS_32092.nii.gz,0.9154,0.8311,0.7835,1.000,1.414,1.414
BRATS_32093.nii.gz,0.9130,0.8187,0.8016,1.000,1.414,1.414
BRATS_32094.nii.gz,0.9153,0.8362,0.8311,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9280,0.8571,0.8415,1.000,1.000,1.000
BRATS_32096.nii.gz,0.9219,0.8464,0.8342,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9168,0.8362,0.8412,1.000,1.000,1.000
BRATS_32098.nii.gz,0.9202,0.8455,0.8637,1.000,1.000,1.000
BRATS_32099.nii.gz,0.9290,0.8479,0.8612,1.000,1.000,1.000
BRATS_32100.nii.gz,0.9141,0.8307,0.8550,1.000,1.414,1.000
BRATS_32101.nii.gz,0.9061,0.8258,0.8433,1.000,1.414,1.000
BRATS_32102.nii.gz,0.9236,0.8405,0.8365,1.000,1.414,1.000
BRATS_32103.nii.gz,0.9439,0.8614,0.8409,1.000,1.000,1.000
BRATS_32104.nii.gz,0.9493,0.8655,0.8605,1.000,1.000,1.000
BRATS_32105.nii.gz,0.9568,0.8728,0.8518,0.000,1.000,1.000
BRATS_32106.nii.gz,0.9611,0.8861,0.8697,0.000,1.000,1.000
BRATS_32107.nii.gz,0.9508,0.8734,0.8905,0.000,1.000,1.000
BRATS_32256.nii.gz,0.5554,0.5574,0.0000,12.083,12.083,373.129
BRATS_32257.nii.gz,0.6043,0.5961,0.0000,9.849,10.000,373.129
BRATS_32258.nii.gz,0.7222,0.7185,0.0000,5.000,5.099,373.129
BRATS_32259.nii.gz,0.8008,0.7942,0.0000,3.606,4.000,29.985
BRATS_32260.nii.gz,0.8367,0.8314,0.0000,2.828,3.000,373.129
BRATS_32261.nii.gz,0.8798,0.8787,1.0000,2.000,2.000,0.000
BRATS_32262.nii.gz,0.9079,0.9071,1.0000,1.000,1.000,0.000
BRATS_32263.nii.gz,0.9277,0.9275,1.0000,1.000,1.000,0.000
BRATS_32264.nii.gz,0.9307,0.9290,1.0000,1.000,1.000,0.000
BRATS_32265.nii.gz,0.9354,0.9345,0.0000,1.000,1.000,2.769
BRATS_32266.nii.gz,0.9347,0.9341,0.6000,1.000,1.000,2.000
BRATS_32267.nii.gz,0.9367,0.9323,0.6806,1.000,1.000,1.912
BRATS_32268.nii.gz,0.9338,0.9238,0.7521,1.000,1.000,2.000
BRATS_32269.nii.gz,0.9307,0.9205,0.7100,1.000,1.000,10.139
BRATS_32270.nii.gz,0.9303,0.9203,0.6880,1.000,1.000,9.437
BRATS_32271.nii.gz,0.8903,0.8728,0.6398,2.000,2.000,8.944
BRATS_32272.nii.gz,0.8945,0.8818,0.6626,2.000,2.000,10.000
BRATS_32273.nii.gz,0.9151,0.9052,0.6952,1.000,1.000,9.262
BRATS_32274.nii.gz,0.9348,0.9185,0.7374,1.000,1.000,6.000
BRATS_32275.nii.gz,0.9382,0.9130,0.8165,1.000,1.000,2.000
BRATS_32424.nii.gz,0.8318,0.7916,0.8812,3.000,3.162,1.000
BRATS_32425.nii.gz,0.8242,0.7919,0.9053,3.606,3.606,1.000
BRATS_32426.nii.gz,0.8502,0.8284,0.8769,2.828,2.828,1.000
BRATS_32427.nii.gz,0.8428,0.8318,0.8722,3.000,2.828,1.000
BRATS_32428.nii.gz,0.8357,0.8375,0.8527,2.897,2.236,1.000
BRATS_32429.nii.gz,0.8277,0.8381,0.8317,3.162,2.828,2.236
BRATS_32430.nii.gz,0.8066,0.8193,0.6957,3.783,3.162,4.000
BRATS_32431.nii.gz,0.7158,0.7270,0.3133,7.000,5.385,3.162
BRATS_32432.nii.gz,0.7192,0.7352,1.0000,12.000,8.989,0.000
BRATS_32433.nii.gz,0.6896,0.7000,1.0000,10.050,8.488,0.000
BRATS_32434.nii.gz,0.6612,0.6744,1.0000,10.835,9.220,0.000
BRATS_32435.nii.gz,0.7321,0.7470,0.0000,6.325,6.325,373.129
BRATS_32436.nii.gz,0.7439,0.7528,0.0000,10.440,9.220,373.129
BRATS_32437.nii.gz,0.7923,0.8011,1.0000,5.657,5.050,0.000
BRATS_32438.nii.gz,0.8615,0.8627,0.0000,2.000,2.000,373.129
BRATS_32439.nii.gz,0.8482,0.8494,1.0000,2.000,2.000,0.000
BRATS_32440.nii.gz,0.8407,0.8435,1.0000,2.236,2.000,0.000
BRATS_32441.nii.gz,0.8349,0.8369,1.0000,2.000,2.000,0.000
BRATS_32442.nii.gz,0.7994,0.7994,1.0000,2.236,2.236,0.000
BRATS_32443.nii.gz,0.7900,0.7925,1.0000,2.000,2.000,0.000
BRATS_32592.nii.gz,0.0000,0.0000,0.0000,33.941,33.941,373.129
BRATS_32593.nii.gz,0.0000,0.0000,1.0000,27.203,27.459,0.000
BRATS_32594.nii.gz,0.0000,0.0000,1.0000,36.363,36.736,0.000
BRATS_32595.nii.gz,0.0065,0.0025,0.0000,39.535,41.289,373.129
BRATS_32596.nii.gz,0.3869,0.4033,1.0000,21.084,21.024,0.000
BRATS_32597.nii.gz,0.0017,0.0022,0.0000,35.344,34.048,373.129
BRATS_32598.nii.gz,0.0108,0.0153,0.3182,22.856,23.537,3.000
BRATS_32599.nii.gz,0.0142,0.0226,0.2687,22.969,23.770,5.069
BRATS_32600.nii.gz,0.0417,0.0553,0.4054,21.932,22.845,6.908
BRATS_32601.nii.gz,0.0016,0.0026,0.0250,25.000,26.000,11.415
BRATS_32602.nii.gz,0.0000,0.0000,0.0000,46.640,47.494,373.129
BRATS_32603.nii.gz,0.2012,0.2397,0.6593,21.095,22.204,1.707
BRATS_32604.nii.gz,0.0104,0.0215,0.2143,23.364,21.112,4.392
BRATS_32605.nii.gz,0.0000,0.0000,1.0000,33.964,29.806,0.000
BRATS_32606.nii.gz,0.0489,0.0396,1.0000,23.757,24.021,0.000
BRATS_32607.nii.gz,0.0552,0.0000,0.0000,22.016,23.000,373.129
BRATS_32608.nii.gz,0.0117,0.0000,0.0000,23.770,25.000,373.129
BRATS_32609.nii.gz,0.0102,0.0000,0.0000,29.113,30.835,373.129
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,44.735,42.420,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,47.451,47.451,0.000
BRATS_32760.nii.gz,0.0323,0.0262,0.0000,21.509,21.527,373.129
BRATS_32761.nii.gz,0.0000,0.0000,0.0000,42.495,42.437,373.129
BRATS_32762.nii.gz,0.0251,0.0255,0.0000,21.840,21.737,373.129
BRATS_32763.nii.gz,0.3317,0.3333,1.0000,14.142,14.142,0.000
BRATS_32764.nii.gz,0.2987,0.2998,0.0000,14.765,14.765,373.129
BRATS_32765.nii.gz,0.4232,0.4211,1.0000,10.346,10.361,0.000
BRATS_32766.nii.gz,0.3848,0.3811,1.0000,12.215,12.409,0.000
BRATS_32767.nii.gz,0.5006,0.5032,0.0000,8.062,8.062,373.129
BRATS_32768.nii.gz,0.4809,0.4759,1.0000,10.059,10.089,0.000
BRATS_32769.nii.gz,0.4671,0.4661,1.0000,15.284,15.287,0.000
BRATS_32770.nii.gz,0.7009,0.6996,1.0000,11.402,11.493,0.000
BRATS_32771.nii.gz,0.7304,0.7292,1.0000,10.246,10.283,0.000
BRATS_32772.nii.gz,0.7538,0.7540,1.0000,6.000,6.000,0.000
BRATS_32773.nii.gz,0.8189,0.8185,1.0000,7.784,7.928,0.000
BRATS_32774.nii.gz,0.8368,0.8354,1.0000,2.828,2.828,0.000
BRATS_32775.nii.gz,0.8353,0.8377,0.0000,3.000,2.828,373.129
BRATS_32776.nii.gz,0.8480,0.8524,0.0000,2.236,2.000,373.129
BRATS_32777.nii.gz,0.8011,0.8086,0.0000,2.828,2.828,373.129
BRATS_32778.nii.gz,0.8555,0.8624,0.0000,2.000,1.414,373.129
BRATS_32779.nii.gz,0.8483,0.8670,0.0000,3.000,2.000,373.129
BRATS_32928.nii.gz,0.1111,0.1028,1.0000,24.708,25.028,0.000
BRATS_32929.nii.gz,0.0349,0.0349,1.0000,30.721,30.721,0.000
BRATS_32930.nii.gz,0.0000,0.0000,1.0000,97.513,97.579,0.000
BRATS_32931.nii.gz,0.0000,0.0000,1.0000,98.594,98.603,0.000
BRATS_32932.nii.gz,0.0000,0.0000,1.0000,95.108,96.324,0.000
BRATS_32933.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32934.nii.gz,0.0000,0.0000,1.0000,85.905,85.905,0.000
BRATS_32935.nii.gz,0.0980,0.0813,1.0000,41.155,46.088,0.000
BRATS_32936.nii.gz,0.4430,0.4405,1.0000,31.349,31.361,0.000
BRATS_32937.nii.gz,0.5172,0.5180,1.0000,22.489,22.522,0.000
BRATS_32938.nii.gz,0.6482,0.6481,1.0000,18.391,18.420,0.000
BRATS_32939.nii.gz,0.5826,0.5808,1.0000,13.357,13.375,0.000
BRATS_32940.nii.gz,0.5530,0.5492,1.0000,23.041,23.058,0.000
BRATS_32941.nii.gz,0.6492,0.6448,0.8741,14.318,14.560,1.000
BRATS_32942.nii.gz,0.6848,0.6786,0.9148,13.928,13.928,1.000
BRATS_32943.nii.gz,0.6636,0.6517,0.8298,7.071,7.211,2.355
BRATS_32944.nii.gz,0.7678,0.7465,0.8908,6.000,6.325,1.000
BRATS_32945.nii.gz,0.7899,0.7270,0.8496,5.000,5.657,1.000
BRATS_32946.nii.gz,0.8094,0.7374,0.8346,4.472,5.000,1.000
BRATS_32947.nii.gz,0.8050,0.7159,0.8347,4.000,4.472,1.000
BRATS_33096.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33097.nii.gz,0.0000,0.0000,0.0000,92.674,92.674,373.129
BRATS_33098.nii.gz,0.0000,0.0000,0.0000,85.094,85.094,373.129
BRATS_33099.nii.gz,0.0000,0.0000,0.0000,86.131,86.134,373.129
BRATS_33100.nii.gz,0.0506,0.0482,0.2264,16.199,16.279,19.183
BRATS_33101.nii.gz,0.6198,0.6123,0.5347,4.472,5.000,15.991
BRATS_33102.nii.gz,0.6367,0.6153,0.6414,4.000,4.000,13.601
BRATS_33103.nii.gz,0.6412,0.6170,0.6573,4.123,4.123,13.919
BRATS_33104.nii.gz,0.6722,0.6454,0.6650,7.211,10.440,15.025
BRATS_33105.nii.gz,0.6569,0.6163,0.6247,12.083,12.530,13.416
BRATS_33106.nii.gz,0.6271,0.5860,0.5817,13.416,13.587,17.000
BRATS_33107.nii.gz,0.6476,0.5557,0.6102,7.071,8.000,16.700
BRATS_33108.nii.gz,0.6764,0.5497,0.5755,5.992,6.325,18.506
BRATS_33109.nii.gz,0.8128,0.6801,0.6516,3.606,4.000,10.027
BRATS_33110.nii.gz,0.8583,0.7532,0.7668,2.236,3.000,2.828
BRATS_33111.nii.gz,0.8877,0.7827,0.7923,2.000,2.236,5.000
BRATS_33112.nii.gz,0.8787,0.7647,0.8566,2.000,2.828,2.236
BRATS_33113.nii.gz,0.8773,0.7497,0.8325,2.236,3.000,2.828
BRATS_33114.nii.gz,0.8681,0.7302,0.8577,2.355,3.606,1.000
BRATS_33115.nii.gz,0.8223,0.6581,0.8562,6.325,8.544,1.000
BRATS_33264.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33265.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33266.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33267.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33268.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33269.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33270.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33271.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33272.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33273.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33274.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33275.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33276.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33277.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33278.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33279.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33280.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33281.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33282.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33283.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33432.nii.gz,0.8863,0.8082,0.8454,2.828,3.606,1.000
BRATS_33433.nii.gz,0.8992,0.8055,0.8364,2.236,3.000,1.414
BRATS_33434.nii.gz,0.8982,0.7988,0.7331,2.828,3.606,2.236
BRATS_33435.nii.gz,0.8868,0.8060,0.7314,3.606,4.243,3.495
BRATS_33436.nii.gz,0.8645,0.7767,0.7869,4.243,5.000,2.000
BRATS_33437.nii.gz,0.8632,0.7639,0.8089,4.472,5.385,2.000
BRATS_33438.nii.gz,0.8630,0.7640,0.7413,4.123,5.099,6.083
BRATS_33439.nii.gz,0.8708,0.7578,0.7432,2.828,4.243,8.654
BRATS_33440.nii.gz,0.8177,0.7812,0.7066,4.243,4.921,15.232
BRATS_33441.nii.gz,0.8031,0.7834,0.8268,5.000,5.000,15.354
BRATS_33442.nii.gz,0.7941,0.7827,0.8428,5.099,5.099,4.000
BRATS_33443.nii.gz,0.7580,0.7504,0.8387,5.899,6.000,2.000
BRATS_33444.nii.gz,0.7697,0.7606,0.8594,7.071,7.071,1.352
BRATS_33445.nii.gz,0.7822,0.7745,0.8409,6.971,6.854,1.000
BRATS_33446.nii.gz,0.7834,0.7731,0.6187,5.831,5.831,23.052
BRATS_33447.nii.gz,0.8205,0.8235,0.0000,5.000,5.000,32.289
BRATS_33448.nii.gz,0.8193,0.8246,0.0000,7.263,7.071,373.129
BRATS_33449.nii.gz,0.8254,0.8278,0.0000,5.000,5.000,373.129
BRATS_33450.nii.gz,0.8713,0.8784,1.0000,2.236,2.000,0.000
BRATS_33451.nii.gz,0.8569,0.8599,1.0000,3.000,2.828,0.000
BRATS_33600.nii.gz,0.8373,0.8103,0.7941,2.828,4.000,11.415
BRATS_33601.nii.gz,0.8123,0.8282,0.7717,4.000,2.828,12.396
BRATS_33602.nii.gz,0.8032,0.7953,0.7216,2.828,2.236,11.227
BRATS_33603.nii.gz,0.8676,0.8310,0.8203,2.000,2.236,2.083
BRATS_33604.nii.gz,0.9015,0.8780,0.8876,1.414,1.414,1.000
BRATS_33605.nii.gz,0.9112,0.8800,0.8620,1.000,1.414,1.000
BRATS_33606.nii.gz,0.9183,0.8672,0.8375,1.000,1.414,1.000
BRATS_33607.nii.gz,0.9220,0.8624,0.8559,1.000,1.414,1.000
BRATS_33608.nii.gz,0.9312,0.8706,0.8776,1.000,1.414,1.000
BRATS_33609.nii.gz,0.9215,0.8603,0.8846,1.000,1.414,1.000
BRATS_33610.nii.gz,0.9217,0.8720,0.8746,1.000,1.373,1.000
BRATS_33611.nii.gz,0.9169,0.8620,0.8539,1.000,1.414,1.000
BRATS_33612.nii.gz,0.9212,0.8649,0.8568,1.000,1.414,1.000
BRATS_33613.nii.gz,0.9266,0.8753,0.8697,1.000,1.000,1.000
BRATS_33614.nii.gz,0.9246,0.8706,0.8437,1.000,1.000,1.000
BRATS_33615.nii.gz,0.9312,0.8891,0.8633,1.000,1.000,1.000
BRATS_33616.nii.gz,0.9351,0.9042,0.8824,1.000,1.000,1.000
BRATS_33617.nii.gz,0.9191,0.8824,0.8626,1.000,1.000,1.000
BRATS_33618.nii.gz,0.9182,0.8707,0.8370,1.000,1.414,1.000
BRATS_33619.nii.gz,0.9200,0.8915,0.8455,1.000,1.000,1.000
BRATS_33768.nii.gz,0.9094,0.8438,0.8467,2.000,2.236,1.000
BRATS_33769.nii.gz,0.8938,0.8324,0.8673,2.828,3.000,1.000
BRATS_33770.nii.gz,0.8919,0.8326,0.8571,3.000,3.606,1.000
BRATS_33771.nii.gz,0.8865,0.8303,0.8634,3.000,3.606,1.000
BRATS_33772.nii.gz,0.8822,0.8251,0.8575,2.000,2.828,1.000
BRATS_33773.nii.gz,0.8810,0.8371,0.8848,2.236,2.828,1.000
BRATS_33774.nii.gz,0.9054,0.8741,0.8988,2.000,2.000,1.000
BRATS_33775.nii.gz,0.8821,0.8521,0.9019,2.983,3.000,1.000
BRATS_33776.nii.gz,0.9177,0.8908,0.8953,1.414,1.414,1.000
BRATS_33777.nii.gz,0.9240,0.8948,0.8826,1.000,1.414,1.000
BRATS_33778.nii.gz,0.9216,0.8955,0.8884,1.000,1.000,1.000
