name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32609.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32760.nii.gz,0.2902,0.2902,1.0000,15.610,15.610,0.000
BRATS_32761.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32762.nii.gz,0.0169,0.0169,1.0000,21.650,21.650,0.000
BRATS_32763.nii.gz,0.3928,0.3928,1.0000,12.798,12.798,0.000
BRATS_32764.nii.gz,0.3504,0.3504,1.0000,14.386,14.386,0.000
BRATS_32765.nii.gz,0.4921,0.4921,1.0000,10.020,10.020,0.000
BRATS_32766.nii.gz,0.4827,0.4827,1.0000,17.029,17.029,0.000
BRATS_32767.nii.gz,0.6129,0.6103,1.0000,8.550,8.944,0.000
BRATS_32768.nii.gz,0.5758,0.5758,1.0000,9.047,9.047,0.000
BRATS_32769.nii.gz,0.5717,0.5704,1.0000,14.000,14.000,0.000
BRATS_32770.nii.gz,0.7421,0.7413,1.0000,5.000,5.000,0.000
BRATS_32771.nii.gz,0.7732,0.7717,1.0000,3.000,3.000,0.000
BRATS_32772.nii.gz,0.8112,0.8098,1.0000,2.888,2.906,0.000
BRATS_32773.nii.gz,0.8400,0.8386,1.0000,2.236,2.236,0.000
BRATS_32774.nii.gz,0.8371,0.8375,1.0000,2.236,2.236,0.000
BRATS_32775.nii.gz,0.8439,0.8465,0.0000,2.236,2.236,373.129
BRATS_32776.nii.gz,0.8522,0.8534,0.0000,2.000,2.000,373.129
BRATS_32777.nii.gz,0.8366,0.8376,0.0000,2.000,2.000,373.129
BRATS_32778.nii.gz,0.8693,0.8731,0.0000,1.414,1.062,373.129
BRATS_32779.nii.gz,0.8591,0.8804,0.0000,2.000,1.414,373.129
BRATS_32928.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32929.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32930.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32931.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32932.nii.gz,0.1132,0.1132,1.0000,49.239,49.239,0.000
BRATS_32933.nii.gz,0.2593,0.2568,1.0000,38.947,38.949,0.000
BRATS_32934.nii.gz,0.3837,0.3800,1.0000,27.788,28.674,0.000
BRATS_32935.nii.gz,0.4980,0.4980,1.0000,28.025,28.025,0.000
BRATS_32936.nii.gz,0.4171,0.4171,1.0000,27.945,27.945,0.000
BRATS_32937.nii.gz,0.4589,0.4551,1.0000,26.571,26.571,0.000
BRATS_32938.nii.gz,0.6018,0.6022,0.0000,17.013,17.015,373.129
BRATS_32939.nii.gz,0.5528,0.5528,1.0000,23.983,23.983,0.000
BRATS_32940.nii.gz,0.5471,0.5471,1.0000,24.638,24.638,0.000
BRATS_32941.nii.gz,0.6749,0.6749,0.7903,24.266,24.266,4.045
BRATS_32942.nii.gz,0.6400,0.6372,0.8827,21.024,21.388,1.000
BRATS_32943.nii.gz,0.6115,0.5993,0.7993,28.912,29.090,16.000
BRATS_32944.nii.gz,0.7400,0.7136,0.8476,7.280,7.810,1.414
BRATS_32945.nii.gz,0.7940,0.7487,0.8060,6.000,6.708,1.414
BRATS_32946.nii.gz,0.8085,0.7617,0.8102,6.708,7.211,1.414
BRATS_32947.nii.gz,0.8119,0.7578,0.7840,7.330,8.062,1.414
BRATS_33096.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33097.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33098.nii.gz,0.0000,0.0000,0.0000,93.682,93.706,373.129
BRATS_33099.nii.gz,0.0000,0.0000,0.0000,97.417,373.129,373.129
BRATS_33100.nii.gz,0.0497,0.0472,0.2115,18.028,18.028,19.204
BRATS_33101.nii.gz,0.5065,0.4757,0.5320,7.742,7.877,15.981
BRATS_33102.nii.gz,0.5735,0.5476,0.6460,5.099,5.099,13.379
BRATS_33103.nii.gz,0.5846,0.5583,0.6018,7.000,7.000,13.000
BRATS_33104.nii.gz,0.6087,0.5738,0.6566,9.000,9.055,15.294
