name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8571,0.7987,0.8482,1.000,1.414,1.000
BRATS_32089.nii.gz,0.8850,0.8179,0.8044,1.000,1.414,2.000
BRATS_32090.nii.gz,0.9128,0.8397,0.8011,1.000,1.000,1.000
BRATS_32091.nii.gz,0.9205,0.8320,0.7599,1.000,1.000,1.000
BRATS_32092.nii.gz,0.9349,0.8556,0.7824,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9384,0.8633,0.8220,1.000,1.000,1.000
BRATS_32094.nii.gz,0.9238,0.8595,0.8357,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9272,0.8627,0.8597,1.000,1.000,1.000
BRATS_32096.nii.gz,0.9257,0.8651,0.8550,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9169,0.8601,0.8490,1.000,1.000,1.000
BRATS_32098.nii.gz,0.9042,0.8149,0.8238,1.000,1.414,1.000
BRATS_32099.nii.gz,0.9123,0.8428,0.8503,1.000,1.000,1.000
BRATS_32100.nii.gz,0.9094,0.8235,0.8579,1.000,1.414,1.000
BRATS_32101.nii.gz,0.8995,0.8107,0.8360,1.000,1.414,1.000
BRATS_32102.nii.gz,0.9131,0.8281,0.8382,1.000,1.000,1.000
BRATS_32103.nii.gz,0.9317,0.8558,0.8394,1.000,1.000,1.311
BRATS_32104.nii.gz,0.9460,0.8644,0.8307,1.000,1.000,1.000
BRATS_32105.nii.gz,0.9476,0.8649,0.8244,1.000,1.000,1.000
BRATS_32106.nii.gz,0.9469,0.8711,0.8509,1.000,1.000,1.000
BRATS_32107.nii.gz,0.9258,0.8487,0.8622,1.000,1.000,1.000
BRATS_32256.nii.gz,0.6717,0.6779,0.0000,5.099,5.185,373.129
BRATS_32257.nii.gz,0.6867,0.6990,0.0000,5.142,5.342,373.129
BRATS_32258.nii.gz,0.7500,0.7545,0.0000,3.162,3.162,373.129
BRATS_32259.nii.gz,0.8302,0.8338,0.0000,2.000,2.000,19.251
BRATS_32260.nii.gz,0.8418,0.8431,0.0000,2.000,2.000,373.129
BRATS_32261.nii.gz,0.8661,0.8661,1.0000,1.414,1.414,0.000
BRATS_32262.nii.gz,0.9034,0.9034,1.0000,1.000,1.000,0.000
BRATS_32263.nii.gz,0.9261,0.9261,1.0000,1.000,1.000,0.000
BRATS_32264.nii.gz,0.9418,0.9418,1.0000,1.000,1.000,0.000
BRATS_32265.nii.gz,0.9406,0.9406,0.0000,1.000,1.000,373.129
BRATS_32266.nii.gz,0.9316,0.9316,0.0000,1.000,1.000,373.129
BRATS_32267.nii.gz,0.9127,0.9092,0.4681,1.000,1.000,2.000
BRATS_32268.nii.gz,0.9131,0.9068,0.7755,1.000,1.000,1.414
BRATS_32269.nii.gz,0.8953,0.8823,0.7432,1.000,1.000,6.083
BRATS_32270.nii.gz,0.8796,0.8584,0.6699,1.000,1.414,6.228
BRATS_32271.nii.gz,0.8819,0.8216,0.7014,1.000,1.414,6.000
BRATS_32272.nii.gz,0.9199,0.8597,0.7441,1.000,1.000,4.461
BRATS_32273.nii.gz,0.9036,0.8428,0.7537,1.000,1.414,3.041
BRATS_32274.nii.gz,0.8850,0.8239,0.7922,2.000,2.236,2.000
BRATS_32275.nii.gz,0.9078,0.8546,0.8603,1.000,2.000,1.000
BRATS_32424.nii.gz,0.8148,0.7674,0.8654,2.828,2.828,1.000
BRATS_32425.nii.gz,0.8309,0.7989,0.9126,2.236,2.236,1.000
BRATS_32426.nii.gz,0.8676,0.8440,0.8585,2.000,2.000,1.000
BRATS_32427.nii.gz,0.8447,0.8374,0.8636,2.236,2.000,1.000
BRATS_32428.nii.gz,0.8389,0.8369,0.8036,2.000,2.000,4.420
BRATS_32429.nii.gz,0.8457,0.8497,0.7861,2.000,2.000,4.049
BRATS_32430.nii.gz,0.8004,0.8100,0.6444,2.828,2.295,3.000
BRATS_32431.nii.gz,0.7687,0.7788,0.2000,3.000,2.828,3.089
BRATS_32432.nii.gz,0.7523,0.7725,0.0000,3.606,3.000,373.129
BRATS_32433.nii.gz,0.7539,0.7703,0.0000,4.000,3.162,373.129
BRATS_32434.nii.gz,0.7190,0.7316,0.0000,4.123,4.000,373.129
BRATS_32435.nii.gz,0.7353,0.7500,0.0000,5.099,4.710,373.129
BRATS_32436.nii.gz,0.6332,0.6400,1.0000,9.000,8.163,0.000
BRATS_32437.nii.gz,0.7435,0.7488,1.0000,6.066,5.385,0.000
BRATS_32438.nii.gz,0.8411,0.8411,1.0000,1.414,1.414,0.000
BRATS_32439.nii.gz,0.8725,0.8725,1.0000,1.000,1.000,0.000
BRATS_32440.nii.gz,0.8434,0.8434,1.0000,2.000,2.000,0.000
BRATS_32441.nii.gz,0.6853,0.6877,0.0000,4.092,4.098,373.129
BRATS_32442.nii.gz,0.7704,0.7761,1.0000,3.089,2.940,0.000
BRATS_32443.nii.gz,0.6468,0.6468,1.0000,3.162,3.162,0.000
BRATS_32592.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32593.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32594.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32595.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32596.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32597.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32598.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32599.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32600.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32601.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32602.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32603.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32604.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32605.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32606.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32607.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32608.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32609.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32760.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32761.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32762.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32763.nii.gz,0.2720,0.2720,1.0000,11.275,11.275,0.000
BRATS_32764.nii.gz,0.2796,0.2796,1.0000,9.434,9.434,0.000
BRATS_32765.nii.gz,0.4444,0.4444,1.0000,7.071,7.071,0.000
BRATS_32766.nii.gz,0.3926,0.3926,1.0000,8.576,8.576,0.000
BRATS_32767.nii.gz,0.4983,0.4983,1.0000,6.131,6.131,0.000
BRATS_32768.nii.gz,0.5640,0.5640,1.0000,6.670,6.670,0.000
BRATS_32769.nii.gz,0.5765,0.5765,1.0000,8.972,8.972,0.000
BRATS_32770.nii.gz,0.7728,0.7728,1.0000,6.155,6.155,0.000
BRATS_32771.nii.gz,0.7776,0.7776,1.0000,5.697,5.697,0.000
BRATS_32772.nii.gz,0.8012,0.8012,1.0000,4.472,4.472,0.000
BRATS_32773.nii.gz,0.8064,0.8064,1.0000,2.000,2.000,0.000
BRATS_32774.nii.gz,0.8433,0.8433,1.0000,1.414,1.414,0.000
BRATS_32775.nii.gz,0.8613,0.8613,1.0000,1.000,1.000,0.000
BRATS_32776.nii.gz,0.8892,0.8892,1.0000,1.000,1.000,0.000
BRATS_32777.nii.gz,0.8391,0.8378,1.0000,1.414,1.414,0.000
BRATS_32778.nii.gz,0.8533,0.8655,0.0000,2.000,1.000,373.129
BRATS_32779.nii.gz,0.8630,0.8769,0.0000,2.000,1.000,373.129
BRATS_32928.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32929.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32930.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32931.nii.gz,0.1675,0.1675,1.0000,24.126,24.126,0.000
BRATS_32932.nii.gz,0.2249,0.2249,1.0000,22.684,22.684,0.000
BRATS_32933.nii.gz,0.3548,0.3495,1.0000,16.396,16.407,0.000
BRATS_32934.nii.gz,0.4903,0.4903,1.0000,18.620,18.620,0.000
BRATS_32935.nii.gz,0.4736,0.4736,1.0000,18.889,18.889,0.000
BRATS_32936.nii.gz,0.4671,0.4671,1.0000,16.125,16.125,0.000
BRATS_32937.nii.gz,0.4848,0.4848,1.0000,17.026,17.026,0.000
BRATS_32938.nii.gz,0.5943,0.5943,1.0000,15.348,15.348,0.000
BRATS_32939.nii.gz,0.5333,0.5333,1.0000,14.002,14.002,0.000
BRATS_32940.nii.gz,0.4959,0.4959,1.0000,16.000,16.000,0.000
BRATS_32941.nii.gz,0.6369,0.6309,0.8621,15.053,15.073,2.035
BRATS_32942.nii.gz,0.6266,0.6176,0.8243,11.738,11.873,10.000
BRATS_32943.nii.gz,0.6856,0.6595,0.8017,11.314,11.402,10.000
BRATS_32944.nii.gz,0.7193,0.6755,0.8303,4.472,5.000,1.000
BRATS_32945.nii.gz,0.7522,0.6936,0.7533,4.243,4.472,2.236
BRATS_32946.nii.gz,0.7452,0.6802,0.7278,10.296,11.649,9.924
BRATS_32947.nii.gz,0.7526,0.6792,0.7003,11.099,12.180,9.445
BRATS_33096.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33097.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33098.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33099.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33100.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33101.nii.gz,0.3371,0.3072,0.2535,12.409,12.498,11.872
BRATS_33102.nii.gz,0.4930,0.4577,0.6306,9.854,9.889,9.000
BRATS_33103.nii.gz,0.5058,0.4588,0.6260,7.810,7.810,9.220
BRATS_33104.nii.gz,0.5649,0.5354,0.6590,8.062,8.127,9.940
BRATS_33105.nii.gz,0.5380,0.4556,0.6474,10.000,10.296,8.602
BRATS_33106.nii.gz,0.4964,0.3994,0.5771,12.530,12.669,11.180
BRATS_33107.nii.gz,0.4669,0.4302,0.5882,12.207,12.720,11.705
BRATS_33108.nii.gz,0.4415,0.4195,0.5535,9.129,9.577,12.973
BRATS_33109.nii.gz,0.5936,0.5300,0.5663,5.831,6.325,11.856
BRATS_33110.nii.gz,0.6448,0.6050,0.6299,6.025,6.403,7.000
BRATS_33111.nii.gz,0.6882,0.6793,0.6100,5.010,5.000,7.823
BRATS_33112.nii.gz,0.7635,0.7079,0.7118,2.828,3.000,5.000
BRATS_33113.nii.gz,0.8268,0.6547,0.7195,3.000,4.000,4.000
BRATS_33114.nii.gz,0.8631,0.7051,0.8123,2.503,4.000,2.000
BRATS_33115.nii.gz,0.8561,0.7287,0.8342,2.236,3.162,1.000
BRATS_33264.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33265.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33266.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33267.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33268.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33269.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33270.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33271.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33272.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33273.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33274.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33275.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33276.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33277.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33278.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33279.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33280.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33281.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33282.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
